Cn,Ct,ec (cm3),ep (KW),Ewltp (g/km)
GLC 300 E 4MATIC,M1,1991.0,155.0,51.0
GOLF,M1,1968.0,85.0,119.0
COMPASS,M1G,1332.0,132.0,45.0
SANDERO,M1,999.0,67.0,131.0
NISSAN MICRA,M1,999.0,68.0,124.0
TOUAREG,M1G,2995.0,250.0,253.0
SANTA FE,M1,2151.0,148.0,164.0
SUZUKI SWACE,M1,1798.0,72.0,103.0
TOURAN,M1,1498.0,110.0,154.0
PUMA,M1,1499.0,88.0,119.0
718 Boxster GTS,M1,3995.0,294.0,230.0
320I,M1,1998.0,135.0,147.0
FIAT 500X,M1,1248.0,70.0,123.0
SCALA,M1,999.0,81.0,132.0
XCEED,M1,998.0,88.0,137.0
ENYAQ 60,M1,,70.0,0.0
ID.3 PRO 107 KW,M1,,70.0,0.0
DUSTER,M1,1332.0,110.0,142.0
TWINGO,M1,999.0,48.0,117.0
208,M1,1199.0,74.0,118.0
E 220 D 4MATIC,M1,1950.0,143.0,149.0
530e,M1,1998.0,135.0,36.0
IONIQ,M1,1580.0,77.0,105.0
A6 Avant,M1,1968.0,150.0,147.0
YARIS,M1,1490.0,68.0,85.0
I 30,M1,1598.0,85.0,116.0
PROACE,M1,1499.0,75.0,168.0
HIGHLANDER,M1,2487.0,140.0,158.0
C4 SPACETOURER,M1,1499.0,96.0,128.0
GOLF,M1,1395.0,110.0,21.0
TOYOTA RAV4,M1,2487.0,131.0,129.0
208,M1,1199.0,55.0,119.0
DEFENDER,M1G,1997.0,221.0,79.0
,M1,1598.0,145.0,152.0
GLE 400 D 4MATIC,M1G,2925.0,243.0,207.0
COOPER SE,M1,,75.0,0.0
KODIAQ,M1,1498.0,110.0,167.0
ARONA,M1,999.0,85.0,139.0
JAGUAR E-PACE,M1G,1998.0,120.0,170.0
YARIS,M1,1490.0,68.0,92.0
CLIO,M1,999.0,67.0,118.0
CAPTUR,M1,1461.0,70.0,124.0
GOLF GTE,M1,1395.0,110.0,26.0
STONIC,M1,998.0,88.0,125.0
ID.3 PRO 107 KW,M1,,,0.0
120D,M1,1995.0,140.0,134.0
CAPTUR,M1,999.0,67.0,134.0
C5 AIRCROSS,M1,1499.0,96.0,139.0
HONDA CRV,M1,1993.0,107.0,168.0
T-ROC,M1,1968.0,85.0,123.0
KODIAQ,M1,1968.0,147.0,177.0
TUCSON,M1,1598.0,110.0,146.0
718 CAYMAN GT4,M1,3995.0,309.0,242.0
OCTAVIA,M1,1395.0,110.0,25.0
CLIO,M1,1461.0,85.0,110.0
PANDA,M1,999.0,52.0,123.0
I 30,M1,1498.0,80.0,138.0
MAZDA CX-30,M1,1998.0,90.0,134.0
TOYOTA AYGO,M1,998.0,53.0,114.0
T-ROC,M1,1498.0,110.0,159.0
320D,M1,1995.0,140.0,131.0
C3 AIRCROSS,M1,1499.0,81.0,125.0
T-ROC,M1,999.0,81.0,137.0
C3,M1,1499.0,75.0,111.0
CR-V,M1,1993.0,107.0,126.0
TARRACO,M1,1984.0,140.0,200.0
3008,M1,1499.0,96.0,136.0
MINI,M1,1499.0,55.0,134.0
PUMA,M1,999.0,91.0,121.0
SCALA,M1,999.0,81.0,130.0
DUSTER,M1,999.0,67.0,127.0
TOYOTA YARIS,M1,1490.0,68.0,86.0
TOYOTA YARIS,M1,1490.0,68.0,87.0
C4 SPACETOURER,M1,1499.0,96.0,136.0
TOYOTA COROLLA,M1,1987.0,112.0,121.0
C3,M1,1199.0,61.0,122.0
CLIO,M1,999.0,67.0,118.0
KOMBI,M1,1968.0,81.0,188.0
SCALA,M1,1498.0,110.0,125.0
RANGE ROVER SPORT,M1G,1997.0,221.0,83.0
S 350 D 4MATIC,M1,2925.0,210.0,189.0
SPORTAGE,M1,1591.0,130.0,192.0
ZOE,M1,,51.0,0.0
NISSAN QASHQAI,M1,1332.0,103.0,143.0
530e,M1,1998.0,135.0,36.0
118I,M1,1499.0,100.0,134.0
PANAMERA 4,M1,2894.0,243.0,56.0
ID.3 PRO 150 KW,M1,,70.0,0.0
CLIO,M1,1461.0,63.0,109.0
ID.4 PRO 150 KW,M1,,150.0,0.0
308,M1,1199.0,96.0,131.0
3008,M1,1499.0,96.0,135.0
KAROQ,M1,999.0,81.0,131.0
T-ROC,M1,1498.0,110.0,149.0
CEED,M1,1598.0,100.0,124.0
XCeed,M1,1598.0,100.0,134.0
SUPERB,M1,1968.0,147.0,159.0
TOYOTA COROLLA,M1,1798.0,72.0,103.0
ID.4 PRO 150KW,M1,,70.0,0.0
TIGUAN,M1,1968.0,110.0,156.0
SANDERO,M1,999.0,67.0,115.0
ZOE,M1,,51.0,0.0
LADA NIVA TRAVEL 4X4,M1G,1690.0,59.0,247.0
520D,M1,1995.0,140.0,126.0
SANDERO,M1,999.0,67.0,127.0
V90 Cross Country,M1,1969.0,184.0,180.0
ID.4 PRO 150KW,M1,,70.0,0.0
Nissan Leaf 62kWh,M1,,160.0,0.0
C3 AIRCROSS,M1,1199.0,96.0,142.0
TOYOTA YARIS,M1,1490.0,68.0,87.0
XC40,M1,1477.0,95.0,167.0
TOYOTA GR YARIS,M1,1618.0,192.0,186.0
TUCSON,M1,1598.0,132.0,127.0
ARKANA E-TECH,M1,1598.0,69.0,113.0
SANDERO,M1,999.0,74.0,114.0
A1 SPORTBACK,M1,999.0,81.0,125.0
X3 XDRIVE30E,M1G,1998.0,135.0,48.0
GLA 180 D,M1,1950.0,85.0,140.0
E 200,M1,1991.0,145.0,162.0
COROLLA,M1,1798.0,72.0,103.0
MODEL 3,M1,,100.0,0.0
FOCUS,M1,999.0,92.0,135.0
STONIC,M1,998.0,88.0,121.0
A4 AVANT,M1,1968.0,120.0,130.0
SEAT LEON SP,M1,1498.0,96.0,126.0
540D XDRIVE,M1,2993.0,250.0,169.0
OCTAVIA,M1,1968.0,110.0,118.0
KODIAQ,M1G,1968.0,147.0,169.0
Q2,M1,999.0,81.0,132.0
Z4 SDRIVE 30I,M1,1998.0,190.0,162.0
C 220 D 4MATIC,M1,1950.0,143.0,146.0
TOYOTA YARIS,M1,1490.0,92.0,118.0
TOURNEO,M1,1995.0,136.0,220.0
XC60,M1G,1969.0,145.0,169.0
RAV4,M1,2487.0,131.0,132.0
TIGUAN,M1,1968.0,147.0,175.0
AMG CLA 35,M1,1991.0,225.0,186.0
2008,M1,1199.0,96.0,127.0
SPRING,M1,,19.0,0.0
COUNTRYMAN COOPER SE ALL,M1,1499.0,92.0,42.0
CEED,M1,998.0,88.0,133.0
T-CROSS,M1,999.0,81.0,132.0
SCALA,M1,1498.0,110.0,133.0
UP!,M1,,61.0,0.0
TIGUAN,M1,1968.0,110.0,148.0
IONIQ,M1,,,0.0
ONE,M1,1499.0,75.0,124.0
CAPTUR,M1,999.0,74.0,135.0
i 30,M1,1482.0,117.0,126.0
T-CROSS,M1,1498.0,110.0,139.0
RENEGADE,M1,1598.0,96.0,134.0
PUMA,M1,999.0,91.0,122.0
TOYOTA RAV4,M1,2487.0,136.0,22.0
PANDA,M1,1242.0,51.0,121.0
IONIQ,M1,1580.0,77.0,26.0
TRAVELLER,M1,1997.0,130.0,187.0
SPORTAGE,M1,1598.0,100.0,157.0
ZOE,M1,,51.0,0.0
Q2,M1,1498.0,110.0,130.0
Q3 Sportback e-tron,M1,1395.0,110.0,38.0
640I XDRIVE,M1,2998.0,245.0,198.0
TIGUAN,M1,1968.0,147.0,178.0
2008,M1,1499.0,81.0,118.0
IGNIS,M1,1197.0,61.0,121.0
CEED,M1,1482.0,118.0,130.0
308,M1,1199.0,96.0,130.0
RAV4 / 2.5 / 4WD HIBRID,M1,2487.0,131.0,130.0
PASSAT,M1,1968.0,147.0,146.0
ARONA,M1,999.0,81.0,122.0
PICANTO,M1,998.0,49.0,113.0
KUGA,M1,2488.0,112.0,24.0
CORSA,M1,1199.0,74.0,118.0
VITARA,M1,1373.0,95.0,132.0
MODEL 3,M1,,100.0,0.0
KONA,M1,1580.0,77.0,112.0
CORSA,M1,1199.0,74.0,122.0
GIULIETTA,M1,1598.0,88.0,145.0
A4 AVANT,M1,1968.0,150.0,152.0
KONA,M1,1598.0,145.0,151.0
T-ROC,M1,1498.0,110.0,144.0
3008,M1,1598.0,147.0,29.0
220I,M1,1998.0,131.0,142.0
TUCSON,M1,1598.0,110.0,147.0
CROSSLAND,M1,1199.0,96.0,126.0
POLO,M1,999.0,70.0,120.0
MITSUBISHI SPACE STAR,M1,1193.0,52.0,116.0
FIAT TIPO,M1,1598.0,96.0,119.0
KUGA,M1,1496.0,110.0,155.0
500,M1,,43.0,0.0
LYNK & CO 01,M1,1477.0,132.0,27.0
XC40,M1,1477.0,120.0,160.0
"KONA, KAUAI",M1,998.0,88.0,135.0
GOLF,M1,999.0,81.0,121.0
MODEL 3,M1,,100.0,0.0
3008,M1,1499.0,96.0,136.0
SPORTAGE,M1,1591.0,97.0,166.0
CAYENNE E-HYBRID,M1G,2995.0,250.0,79.0
IX3,M1,,210.0,0.0
COOPER,M1,1499.0,100.0,127.0
PASSAT,M1,1395.0,115.0,27.0
PANDA,M1,875.0,63.0,156.0
I20 / 1.0 / T-GDI DCT,M1,998.0,74.0,122.0
C5 AIRCROSS,M1,1499.0,96.0,137.0
DUSTER,M1,1332.0,96.0,144.0
CLIO,M1,999.0,67.0,118.0
EQA 250,M1,,80.0,0.0
MEGANE E-TECH PLUG-IN HY,M1,1598.0,74.0,30.0
GOLF,M1,1968.0,110.0,121.0
KAMIQ,M1,999.0,70.0,122.0
308,M1,1499.0,96.0,122.0
LODGY,M1,1461.0,85.0,131.0
308,M1,1199.0,96.0,132.0
TOYOTA COROLLA,M1,1197.0,85.0,151.0
M850I XDRIVE,M1,4395.0,390.0,246.0
FORMENTOR,M1,1984.0,228.0,192.0
CROSSLAND,M1,1199.0,96.0,136.0
GLC 200 D,M1,1950.0,120.0,155.0
CORSA,M1,1199.0,74.0,117.0
E 300 de,M1,1950.0,143.0,36.0
KUGA,M1,2488.0,112.0,32.0
VITARA,M1,1373.0,95.0,129.0
ID.4 PRO 150 KW,M1,,70.0,0.0
ARONA,M1,999.0,81.0,139.0
VITARA,M1,1373.0,95.0,129.0
POLO,M1,999.0,70.0,121.0
XC40,M1G,1969.0,140.0,173.0
DUSTER,M1,1332.0,110.0,158.0
KODIAQ,M1,1498.0,110.0,165.0
JUKE,M1,999.0,84.0,134.0
GLC 300 DE 4MATIC,M1,1950.0,143.0,
ATECA,M1,1968.0,110.0,137.0
CLIO / 1.0 /,M1,999.0,67.0,119.0
5008,M1,1499.0,96.0,135.0
Model 3,M1,,208.0,0.0
CAYENNE E-HYBRID,M1G,2995.0,250.0,
KONA,M1,1580.0,77.0,115.0
ENYAQ 80,M1,,70.0,0.0
911 CARRERA 4S,M1,2981.0,331.0,244.0
CAPTUR,M1,999.0,67.0,135.0
2008,M1,1199.0,96.0,136.0
208,M1,1199.0,55.0,119.0
Discovery,M1G,2997.0,183.0,224.0
M135I,M1,1998.0,225.0,181.0
FOCUS,M1,1499.0,88.0,114.0
CLASSE C,M1,1950.0,143.0,32.0
XC60,M1G,1969.0,223.0,56.0
YPSILON,M1,999.0,52.0,121.0
ATECA,M1,1498.0,110.0,154.0
C1,M1,998.0,53.0,110.0
OCTAVIA,M1,1968.0,85.0,112.0
LEON SPORTSTOURER,M1,1968.0,110.0,116.0
NISSAN MICRA,M1,999.0,68.0,124.0
T-CROSS,M1,1498.0,110.0,138.0
HIGHLANDER,M1,2487.0,140.0,149.0
T-ROC,M1,999.0,85.0,134.0
COUNTRYMAN ONE D,M1,1496.0,85.0,132.0
C3,M1,1199.0,61.0,125.0
Q4 40 E-TRON,M1,,70.0,0.0
CLIO,M1,1461.0,63.0,109.0
Q3 SPORTBACK E-TRON,M1,1395.0,110.0,44.0
CLIO,M1,999.0,67.0,117.0
BERLINGO,M1,1499.0,96.0,138.0
COROLLA,M1,1598.0,97.0,138.0
208,M1,1199.0,74.0,118.0
TOYOTA RAV4,M1,2487.0,131.0,131.0
CLASSE GLA,M1,1332.0,118.0,30.0
ID.4 PRO 150 KW,M1,,150.0,0.0
KOMBI,M1,1968.0,81.0,189.0
POLO,M1,999.0,70.0,119.0
PICANTO,M1,998.0,49.0,115.0
CLASSE GLE,M1G,1950.0,143.0,28.0
XC90,M1G,1969.0,223.0,65.0
208,M1,1499.0,75.0,105.0
UP!,M1,999.0,48.0,116.0
PICANTO,M1,998.0,49.0,118.0
M2 40I XDRIVE,M1,2998.0,250.0,208.0
CORSA,M1,1199.0,55.0,118.0
E TRON 55,M1,,172.0,0.0
FIAT TIPO / FIAT EGEA,M1,1248.0,70.0,120.0
I10,M1,998.0,49.0,110.0
Q2,M1,1498.0,110.0,145.0
I 30,M1,998.0,88.0,125.0
S 580 4MATIC,M1,3982.0,370.0,242.0
MAZDA CX-30,M1,1998.0,110.0,134.0
XV,M1,1600.0,84.0,180.0
C4,M1,1499.0,81.0,116.0
2008,M1,1199.0,96.0,136.0
MII,M1,,61.0,0.0
EQA 250,M1,,80.0,0.0
520i,M1,1998.0,135.0,154.0
IBIZA,M1,999.0,81.0,123.0
NX300H,M1,2494.0,114.0,169.0
TRANSIT,M1,1995.0,95.0,191.0
KAROQ,M1,1598.0,85.0,155.0
GLC 200 d,M1,1950.0,120.0,167.0
2008,M1,1199.0,96.0,134.0
2008,M1,1199.0,96.0,136.0
A6 AVANT 50 TFSI E,M1,1984.0,195.0,30.0
SPORTAGE,M1,1598.0,100.0,149.0
XC60,M1G,1969.0,186.0,57.0
SANDERO,M1,999.0,67.0,115.0
ARKANA E-TECH / MEGANE CONQUEST E-TECH,M1,1598.0,69.0,113.0
V90 CROSS COUNTRY,M1,1969.0,145.0,164.0
BYD Tang,M1,,200.0,0.0
STONIC,M1,998.0,73.0,121.0
FIAT 500L,M1,1248.0,70.0,141.0
VITARA,M1,1373.0,95.0,129.0
GLE 350 DE 4MATIC,M1,1950.0,143.0,150.0
ZOE,M1,,51.0,0.0
SANDERO,M1,999.0,67.0,123.0
I10,M1,998.0,49.0,120.0
CLIO,M1,999.0,67.0,117.0
KOMBI,M1,1968.0,110.0,191.0
YARIS,M1,1490.0,68.0,87.0
i3,M1,,125.0,0.0
EXPLORER,M1,2956.0,267.0,71.0
AYGO,M1,998.0,53.0,116.0
TOYOTA YARIS,M1,1490.0,68.0,98.0
500,M1,999.0,51.0,119.0
X5 XDRIVE45E,M1G,2998.0,210.0,30.0
SANDERO,M1,999.0,67.0,114.0
CORSA,M1,1199.0,74.0,137.0
CEED,M1,1353.0,103.0,144.0
FOCUS,M1,2261.0,206.0,187.0
GLC 300 DE 4MATIC,M1,1950.0,143.0,49.0
XC40,M1,1477.0,120.0,164.0
500,M1,999.0,51.0,114.0
3008,M1,1598.0,164.0,30.0
500L,M1,1368.0,70.0,168.0
A3 SPORTBACK,M1,1498.0,110.0,136.0
CLIO,M1,999.0,67.0,118.0
YARIS,M1,1490.0,92.0,125.0
SWIFT,M1,1197.0,61.0,121.0
MODEL 3,M1,,153.0,0.0
ECOSPORT,M1,998.0,92.0,134.0
POLESTAR 2,M1,,170.0,0.0
208,M1,,57.0,0.0
DUSTER,M1,999.0,67.0,141.0
SCENIC,M1,1332.0,103.0,150.0
MOKKA,M1,1199.0,96.0,124.0
Hyundai TUCSON ix35,M1,1598.0,100.0,144.0
C 200,M1,1496.0,150.0,147.0
CAPTUR,M1,999.0,67.0,133.0
FABIA,M1,999.0,70.0,124.0
PICANTO,M1,998.0,49.0,110.0
DUSTER,M1,999.0,74.0,129.0
JAZZ,M1,1498.0,72.0,104.0
PUMA,M1,999.0,92.0,129.0
TIGUAN,M1,1498.0,110.0,151.0
SPORTAGE,M1,1598.0,100.0,146.0
GOLF,M1,999.0,81.0,122.0
iX3,M1,,210.0,0.0
ARTEON,M1,1968.0,110.0,130.0
C1,M1,998.0,53.0,110.0
Ceed,M1,1482.0,118.0,132.0
C3,M1,1199.0,61.0,123.0
COMPASS,M1G,1332.0,96.0,162.0
Q3 E-TRON,M1,1395.0,110.0,44.0
RIO,M1,1197.0,62.0,118.0
A3 SPORTBACK,M1,1968.0,110.0,128.0
TOYOTA AYGO,M1,998.0,53.0,112.0
T-ROC,M1,1498.0,110.0,151.0
NUEVO,M1,1199.0,96.0,120.0
SANDERO,M1,999.0,74.0,109.0
NISSAN MICRA,M1,999.0,68.0,140.0
GLC 300 D 4MATIC,M1,1950.0,180.0,176.0
PICANTO,M1,998.0,49.0,110.0
TWINGO,M1,,31.0,0.0
ID.4 PRO 150KW,M1,,70.0,0.0
E 200,M1,1991.0,145.0,204.0
VIVARO / ZAFIRA LIFE,M1,1997.0,106.0,189.0
RAV4,M1,2487.0,131.0,129.0
C5 AIRCROSS,M1,1199.0,96.0,148.0
T-CROSS,M1,999.0,81.0,146.0
DUSTER,M1,1461.0,85.0,131.0
A1 CITYCARVER,M1,1498.0,110.0,151.0
TIGUAN,M1G,1968.0,110.0,169.0
PICANTO,M1,998.0,49.0,117.0
SANDERO,M1,999.0,74.0,115.0
5008,M1,1199.0,96.0,143.0
E-TRON 50,M1,,158.0,0.0
STONIC,M1,998.0,73.0,130.0
TOURNEO CUSTOM / 2.0 / 136 SPL1 320 A6,M1,1995.0,136.0,219.0
IGNIS,M1,1197.0,61.0,110.0
NISSAN QASHQAI,M1,1332.0,116.0,142.0
C4,M1,1199.0,96.0,131.0
SANDERO,M1,999.0,67.0,127.0
COOPER,M1,1499.0,100.0,127.0
BAYON,M1,998.0,74.0,120.0
KUGA,M1,1499.0,88.0,138.0
208,M1,,57.0,0.0
A3 SPORTBACK,M1,1968.0,85.0,114.0
NIRO,M1,,150.0,0.0
CAPTUR E-TECH PLUG-IN HYBRID,M1,1598.0,68.0,
208,M1,1499.0,75.0,107.0
GOLF,M1,1498.0,96.0,105.0
A110,M1,1798.0,215.0,157.0
Mitsubishi Space Star,M1,1193.0,59.0,121.0
PANDA,M1,875.0,63.0,156.0
V60,M1,1969.0,120.0,144.0
FOCUS,M1,999.0,92.0,124.0
VITARA,M1,1373.0,95.0,129.0
508,M1,1199.0,96.0,136.0
120D XDRIVE 5-TÜRER F40 B47,M1,1995.0,140.0,146.0
COMPASS,M1G,1332.0,132.0,48.0
C3 AIRCROSS,M1,1199.0,81.0,131.0
KAMIQ,M1,999.0,81.0,132.0
SUPERB,M1,1968.0,110.0,132.0
MOKKA,M1,,57.0,0.0
330I,M1,1998.0,190.0,167.0
Q5,M1,1968.0,150.0,170.0
A 180,M1,1461.0,85.0,118.0
I 30,M1,998.0,88.0,122.0
OCTAVIA,M1,1968.0,85.0,112.0
XC60,M1G,1969.0,186.0,58.0
ASTRA SPORTS TOURER+,M1,1199.0,96.0,124.0
XC60,M1G,1969.0,145.0,168.0
SANDERO,M1,999.0,74.0,109.0
Q5,M1,1968.0,150.0,168.0
XC40,M1,1477.0,95.0,166.0
TRANSIT CUSTOM,M1,1995.0,77.0,197.0
MODEL 3,M1,,377.0,0.0
GOLF,M1,999.0,81.0,123.0
OCTAVIA,M1,1498.0,110.0,123.0
I20,M1,998.0,74.0,121.0
ECOSPORT,M1,998.0,92.0,136.0
B 250 E,M1,1332.0,118.0,29.0
M440I XDRIVE,M1,2998.0,275.0,178.0
CLASSE GLE,M1G,1950.0,143.0,20.0
T-ROC,M1,1498.0,110.0,144.0
COUNTRYMAN COOPER,M1,1499.0,100.0,150.0
XC40,M1,1477.0,95.0,49.0
S60,M1,1969.0,145.0,151.0
XC40,M1,1477.0,95.0,165.0
I20,M1,998.0,73.0,122.0
E 200 D,M1,1597.0,118.0,128.0
DUSTER,M1,1461.0,85.0,127.0
KONA,M1,,150.0,0.0
FIAT 500X,M1,999.0,88.0,146.0
KODIAQ,M1G,1968.0,176.0,209.0
COROLLA,M1,1798.0,72.0,102.0
UX250H,M1,1987.0,112.0,124.0
MITSUBISHI SPACE STAR,M1,1193.0,52.0,113.0
CLIO,M1,999.0,49.0,118.0
NUEVO,M1,1499.0,75.0,112.0
POLO,M1,999.0,59.0,125.0
MAZDA CX-30,M1,1998.0,137.0,128.0
POLO,M1,1984.0,147.0,160.0
MUSTANG,M1,5038.0,338.0,269.0
208,M1,1199.0,74.0,118.0
NISSAN JUKE,M1,999.0,84.0,144.0
C3 AIRCROSS,M1,1199.0,81.0,135.0
ID.4 PRO 150 KW,M1,,150.0,0.0
DEFENDER,M1G,2997.0,183.0,233.0
SERIE I,M1,,75.0,0.0
MICRA,M1,999.0,68.0,122.0
RIO,M1,1197.0,61.0,122.0
I 30,M1,1598.0,85.0,131.0
Q3 Sportback,M1,1498.0,110.0,148.0
TUCSON,M1,1598.0,132.0,31.0
TOYOTA C-HR,M1,1987.0,112.0,119.0
MODEL 3,M1,,100.0,0.0
URUS,M1G,3996.0,478.0,325.0
KAMIQ,M1,999.0,81.0,125.0
LEON SPORTSTOURER,M1,1395.0,110.0,31.0
A1,M1,999.0,81.0,134.0
V-KLASSE,M1,1950.0,140.0,199.0
SANDERO,M1,999.0,67.0,115.0
FIAT 500L,M1,1368.0,70.0,166.0
118D,M1,1995.0,110.0,128.0
A 250 E,M1,1332.0,118.0,24.0
KANGOO,M1,1332.0,96.0,157.0
MODEL 3,M1,,100.0,0.0
3008,M1,1199.0,96.0,145.0
ZOE,M1,,100.0,0.0
LEON,M1,1598.0,85.0,126.0
TUCSON IX35,M1,1591.0,97.0,177.0
NISSAN QASHQAI,M1,1332.0,116.0,146.0
DUSTER,M1,999.0,74.0,129.0
208,M1,,57.0,0.0
RENEGADE,M1,1598.0,96.0,137.0
PROACE CITY VERSO,M1,1199.0,81.0,151.0
SPORTAGE,M1,1598.0,100.0,173.0
GRANDLAND X,M1,1598.0,133.0,157.0
KUGA,M1,2488.0,112.0,32.0
CROSSLAND,M1,1199.0,81.0,133.0
T-ROC,M1,1968.0,85.0,124.0
208,M1,1199.0,74.0,120.0
N 2008,M1,1199.0,96.0,136.0
"TUCSON,ix35",M1,1598.0,132.0,131.0
C5 AIRCROSS,M1,1598.0,133.0,32.0
120D XDRIVE,M1,1995.0,140.0,144.0
OUTBACK,M1,2498.0,124.0,193.0
POLESTAR 2,M1,,160.0,0.0
X3 XDRIVE20D,M1G,1995.0,140.0,159.0
C 220 D,M1,1993.0,147.0,133.0
CLASSE A,M1,1950.0,85.0,129.0
TARRACO,M1,1498.0,110.0,177.0
XCEED,M1,1353.0,103.0,156.0
CORSA,M1,1199.0,55.0,118.0
HONDA E,M1,,60.0,0.0
X3 XDRIVE 20D,M1G,1995.0,140.0,161.0
UP!,M1,,61.0,0.0
COOPER,M1,1499.0,100.0,133.0
ARKANA,M1,1332.0,103.0,135.0
DUSTER,M1,1461.0,85.0,132.0
MODEL 3,,,153.0,0.0
FOCUS,M1,999.0,91.0,120.0
TWINGO,M1,999.0,48.0,117.0
FORMENTOR,M1,1984.0,228.0,194.0
308,M1,1199.0,96.0,131.0
TOURAN,M1,1968.0,110.0,145.0
ALFA GIULIETTA,M1,1598.0,88.0,145.0
X3 xDrive20d,M1G,1995.0,140.0,154.0
MITSUBISHI ASX,M1,1998.0,110.0,149.0
X1 XDRIVE 25E,M1,1499.0,92.0,42.0
320D XDRIVE TOURING G21 XD5,M1,1995.0,140.0,136.0
DUSTER,M1,1461.0,85.0,147.0
VIVARO ZAFIRA LIFE,M1,1499.0,88.0,167.0
ARTEON,M1,1984.0,140.0,169.0
PASSAT,M1,1968.0,110.0,128.0
208,M1,1199.0,55.0,119.0
CLIO,M1,999.0,67.0,136.0
FOCUS,M1,999.0,92.0,116.0
208,M1,1199.0,74.0,118.0
FABIA,M1,999.0,44.0,126.0
C 220 d 4MATIC,M1,1950.0,143.0,147.0
SUPERB,M1,1968.0,147.0,158.0
POLO,M1,999.0,66.0,101.0
ZOE,M1,,51.0,0.0
XC60,M1G,1969.0,186.0,56.0
CAPTUR,M1,1332.0,103.0,136.0
SORENTO,M1,1598.0,132.0,172.0
PASSAT,M1,1498.0,110.0,148.0
YARIS,M1,1490.0,68.0,92.0
2008 / 1.2 /,M1,1199.0,96.0,127.0
NUEVO,M1,1499.0,75.0,112.0
RAV4,M1,2487.0,131.0,132.0
C5 AIRCROSS,M1,1199.0,96.0,151.0
Puma,M1,999.0,91.0,121.0
CLIO,M1,999.0,67.0,120.0
T-ROC,M1,1498.0,110.0,154.0
GLC 300 de 4MATIC,M1,1950.0,143.0,51.0
2008,M1,1499.0,81.0,116.0
TOYOTA C-HR,M1,1987.0,112.0,119.0
AYGO,M1,998.0,53.0,114.0
2008,M1,1199.0,96.0,136.0
V60 CROSS COUNTRY,M1,1969.0,145.0,159.0
C5 AIRCROSS,M1,1199.0,96.0,149.0
V90,M1,1969.0,140.0,156.0
Q2,M1,1968.0,85.0,126.0
Z4 SDRIVE 20I,M1,1998.0,145.0,162.0
MODEL 3,M1,,100.0,0.0
KOMBI,M1,1968.0,81.0,185.0
PICANTO,M1,1197.0,62.0,118.0
FORMENTOR,M1,1498.0,110.0,148.0
NUEVO,M1,1199.0,81.0,126.0
UP!,M1,,61.0,0.0
SWACE,M1,1798.0,72.0,103.0
T-ROC,M1,999.0,81.0,144.0
C3,M1,1199.0,81.0,126.0
208,M1,1199.0,74.0,118.0
KODIAQ,M1,1968.0,110.0,169.0
I 20,M1,1197.0,61.0,125.0
NISSAN JUKE,M1,999.0,86.0,144.0
KAMIQ,M1,1498.0,110.0,129.0
MODEL 3,M1,,153.0,0.0
C-HR,M1,1987.0,112.0,119.0
CLIO,M1,1461.0,63.0,110.0
XC40,M1,1969.0,145.0,165.0
One,M1,1499.0,75.0,128.0
GOLF,M1,1968.0,85.0,122.0
CAPTUR,M1,1598.0,69.0,118.0
NISSAN JUKE,M1,999.0,86.0,143.0
XC60,M1G,1969.0,186.0,56.0
3008,M1,1499.0,96.0,135.0
DUSTER,M1,999.0,67.0,146.0
FIESTA,M1,999.0,69.0,125.0
KAROQ,M1,1498.0,110.0,145.0
FORMENTOR E-HYBRID,M1,1395.0,110.0,
T-ROC,M1,999.0,81.0,144.0
MODEL 3,M1,,88.0,0.0
FIAT 500X,M1,1248.0,70.0,123.0
320I,M1,1998.0,135.0,159.0
S60,M1,1969.0,145.0,144.0
GOLF,M1,1968.0,110.0,124.0
PICANTO,M1,998.0,74.0,121.0
MODEL 3,M1,,100.0,0.0
911 TURBO S,M1,3745.0,478.0,271.0
CAYENNE E-HYBRID,M1G,2995.0,250.0,
LEAF 40KWH,M1,,85.0,0.0
CLIO,M1,1461.0,63.0,110.0
FIESTA,M1,1084.0,55.0,121.0
"KONA, KAUAI",M1,998.0,88.0,129.0
KODIAQ,M1G,1968.0,147.0,174.0
Model 3,M1,,366.0,0.0
V60,M1,1969.0,223.0,42.0
C3,M1,1199.0,61.0,124.0
NIRO,M1,1580.0,77.0,31.0
UP!,M1,999.0,48.0,115.0
OCTAVIA,M1,1498.0,110.0,126.0
Polestar 2,M1,,150.0,0.0
NIRO,M1,1580.0,77.0,31.0
T-ROC,M1,1498.0,110.0,148.0
CLASSE C,M1,1950.0,143.0,135.0
OCTAVIA,M1,1498.0,110.0,124.0
ECOSPORT,M1,998.0,92.0,135.0
GLB 200 D 4MATIC,M1,1950.0,110.0,151.0
EXPERT,M1,1997.0,106.0,188.0
CLIO,M1,1598.0,67.0,98.0
STONIC,M1,1197.0,62.0,125.0
MAZDA CX-30,M1,1998.0,110.0,134.0
LOGAN,M1,999.0,49.0,118.0
MOKKA,M1,,57.0,0.0
RANGE ROVER SPORT,M1G,1997.0,221.0,76.0
MODEL 3,M1,,100.0,0.0
EQ FORFOUR,M1,,41.0,0.0
FIAT 500L,M1,1368.0,70.0,175.0
3008,M1,1499.0,96.0,137.0
330E,M1,1998.0,135.0,33.0
POLO,M1,999.0,70.0,120.0
Q7 55 TFSI E,M1G,2995.0,250.0,60.0
